train,test
44197977.1951,0.0168
3744211.4009,0.1314
22525577.2966,0.1565
5642619.6976,0.3642
42242955.1742,3.8817
40780149.9129,0.5663
12976579.5805,1.9398
15648645.4065,2.1266
18678239.7085,0.3441
54496590.4352,1.1209
14029066.3990,0.7373
3261015.4787,1.5815
107729810.8358,0.1270
46569568.3349,0.2585
10415802.6033,18.8231
253805768.1359,5.8498
4458247.3654,1.1866
50695195.7972,0.0668
17973452.5888,5.0713
108536501.9240,2.2689
112876718.8311,0.4213
6023912.6694,1.5338
97662318.1490,0.0702
4964042.0600,1.6857
66522846.5662,0.7288
6553888.7580,1.4906
24981856.2474,0.0621
49667853.4468,0.0546
27444153.1238,0.6595
310420.7463,0.3598
15550219.0968,0.0616
9992590.5708,0.2684
1612125.1092,0.8623
4759889.0632,0.4246
127023386.9213,0.2953
8239528.0265,0.0551
8494248.4323,0.0214
13247990.0350,0.0269
15232921.4940,0.0329
4094364.0971,0.0131
2383599.0324,0.0086
29706540.1313,0.2607
3291058.5198,0.0946
1609835.3207,0.0652
530181.1072,0.0659
1196329.1419,0.0370
992023.9818,0.0180
1918788.9505,0.0147
367189.8839,0.0194
1093504.7021,0.0096
979024.7930,0.0131
213771.8056,0.0173
25285.4250,0.0181
1560055.8418,0.0171
1046899.5020,0.0194
279677.8708,0.0233
757450.5468,0.0163
156414.6294,0.0163
272313.4695,0.0124
1090140.3099,0.0114
399593.5637,0.0100
1061456.0651,0.0183
446058.6918,0.0133
69891.7846,0.0113
416893.6607,0.0108
368271.0725,0.0156
309399.4718,0.0144
168349.8084,0.0112
49615.1887,0.0133
143047.0677,0.0149
81505.4676,0.0133
173496.3834,0.0146
118413.5614,0.0143
91640.1035,0.0120
104591.6403,0.0119
73772.1639,0.0108
317591.6457,0.0089
37385.2979,0.0095
97341.3599,0.0127
77382.9521,0.0124
30369.6445,0.0102
47984.3852,0.0094
159673.6931,0.0133
209906.5084,0.0097
64903.7845,0.0117
46239.9564,0.0104
326633.6379,0.0130
323006.2839,0.0103
88047.8235,0.0068
117014.6102,0.0078
54721.0455,0.0077
269213.3636,0.0126
471679.3824,0.0160
765494.5270,0.0092
51491.9014,0.0112
162577.6036,0.0115
43255.0483,0.0108
164758.0991,0.0133
54185.7638,0.0126
224432.1285,0.0099
